date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:37:36	83615/83615	---MCZ	200	added ('OK')	application/javascript	etag:W/%225afd494f-1469f%22	https://cdnjs.cloudflare.com/ajax/libs/jquery/2.1.0/jquery.min.js	/home/suga/websites/lardoc/cdnjs.cloudflare.com/ajax/libs/jquery/2.1.0/jquery.min.js	(from https://laravel.com/docs/7.x)
13:37:37	2087/2087	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225d570371-827%22	https://laravel.com/img/logomark.min.svg	/home/suga/websites/lardoc/laravel.com/img/logomark.min.svg	(from https://laravel.com/docs/7.x)
13:37:38	2388/2388	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225d570371-954%22	https://laravel.com/img/logotype.min.svg	/home/suga/websites/lardoc/laravel.com/img/logotype.min.svg	(from https://laravel.com/docs/7.x)
13:37:39	43035/43035	---MCZ	200	added ('OK')	text/html	date:Mon,%2013%20Jul%202020%2006:37:38%20GMT	https://laravel.com/docs/7.x/releases	/home/suga/websites/lardoc/laravel.com/docs/7.x/releases.html	(from https://laravel.com/docs/7.x)
13:37:40	39380/39380	---MCZ	200	added ('OK')	text/html	date:Mon,%2013%20Jul%202020%2006:37:40%20GMT	https://laravel.com/docs/7.x/upgrade	/home/suga/websites/lardoc/laravel.com/docs/7.x/upgrade.html	(from https://laravel.com/docs/7.x)
13:37:41	31132/31132	---MCZ	200	added ('OK')	text/html	date:Mon,%2013%20Jul%202020%2006:37:40%20GMT	https://laravel.com/docs/7.x/contributions	/home/suga/websites/lardoc/laravel.com/docs/7.x/contributions.html	(from https://laravel.com/docs/7.x)
13:37:41	33051/33051	---MCZ	200	added ('OK')	text/html	date:Mon,%2013%20Jul%202020%2006:37:41%20GMT	https://laravel.com/docs/7.x/configuration	/home/suga/websites/lardoc/laravel.com/docs/7.x/configuration.html	(from https://laravel.com/docs/7.x)
13:37:43	38148/38148	---MCZ	200	added ('OK')	text/html	date:Mon,%2013%20Jul%202020%2006:37:42%20GMT	https://laravel.com/docs/7.x/structure	/home/suga/websites/lardoc/laravel.com/docs/7.x/structure.html	(from https://laravel.com/docs/7.x)
13:37:44	67291/67291	---MCZ	200	added ('OK')	text/html	date:Mon,%2013%20Jul%202020%2006:37:43%20GMT	https://laravel.com/docs/7.x/homestead	/home/suga/websites/lardoc/laravel.com/docs/7.x/homestead.html	(from https://laravel.com/docs/7.x)
13:37:45	46315/46315	---MCZ	200	added ('OK')	text/html	date:Mon,%2013%20Jul%202020%2006:37:45%20GMT	https://laravel.com/docs/7.x/valet	/home/suga/websites/lardoc/laravel.com/docs/7.x/valet.html	(from https://laravel.com/docs/7.x)
13:37:46	28525/28525	---MCZ	200	added ('OK')	text/html	date:Mon,%2013%20Jul%202020%2006:37:45%20GMT	https://laravel.com/docs/7.x/deployment	/home/suga/websites/lardoc/laravel.com/docs/7.x/deployment.html	(from https://laravel.com/docs/7.x)
13:37:46	27316/27316	---MCZ	200	added ('OK')	text/html	date:Mon,%2013%20Jul%202020%2006:37:46%20GMT	https://laravel.com/docs/7.x/lifecycle	/home/suga/websites/lardoc/laravel.com/docs/7.x/lifecycle.html	(from https://laravel.com/docs/7.x)
13:37:48	37277/37277	---MCZ	200	added ('OK')	text/html	date:Mon,%2013%20Jul%202020%2006:37:47%20GMT	https://laravel.com/docs/7.x/container	/home/suga/websites/lardoc/laravel.com/docs/7.x/container.html	(from https://laravel.com/docs/7.x)
